ftc.delta_t,ftc.goal_count,config.dummy,action.delta,state.value,reward,terminal,time,simulator,predict,sim_id,statistics.episode_reward,statistics.episode_count,statistics.episode_rate,statistics.iteration_count,statistics.iteration_rate
,,,,,,,,,,,,,,,
-4436820.0,,,,,,,,,,,,,,,
269.0,,-1,,0,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,27,30,0,119
403.0,0,,0,0,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,27,30,1,120
459.0,0,,-1,-1,0,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,27,30,2,121
524.0,,,,,,,,,,,,,,,
244.0,,-1,,1,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,28,31,0,121
378.0,1,,0,1,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,1,28,31,1,122
467.0,1,,-1,0,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,2,28,31,2,123
539.0,2,,1,1,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,4,28,31,3,124
440.0,2,,1,2,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,6,28,31,4,122
2583.0,2,,0,2,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,8,28,31,5,123
486.0,3,,-1,1,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,11,28,31,6,124
443.0,3,,1,2,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,14,28,31,7,125
428.0,3,,1,3,3,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,17,28,31,8,126
426.0,,,,,,,,,,,,,,,
234.0,,-1,,0,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,29,31,0,126
366.0,0,,-1,-1,0,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,29,31,1,127
449.0,,,,,,,,,,,,,,,
246.0,,-1,,1,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,30,32,0,127
389.0,0,,-1,0,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,30,32,1,128
507.0,0,,-1,-1,0,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,30,32,2,129
610.0,,,,,,,,,,,,,,,
271.0,,-1,,1,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,31,33,0,129
2696.0,0,,-1,0,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,31,33,1,126
491.0,0,,-1,-1,0,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,31,33,2,127
436.0,,,,,,,,,,,,,,,
235.0,,-1,,0,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,32,33,0,127
467.0,0,,0,0,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,32,33,1,128
444.0,0,,0,0,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,32,33,2,129
459.0,1,,1,1,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,1,32,33,3,130
